model,rmse,r2,train_time_s
xgboost,1.064505503797592,0.4226776621341679,56.18311619758606
random_forest,1.0791255597136404,0.40671072502611205,37.15930962562561
ridge,1.1124467131047966,0.36950597745426883,0.5642659664154053
baseline_dummy,1.4010148549947374,-1.846576431385749e-05,0.2733161449432373
